epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9538,2.32642,3.63184,1.12831,0.00566,0.23077,0.00395,0.00154,2.17781,3.65539,1.16519,0.00018,0.00018,0.00018
2,16.1327,2.02869,3.17117,1.06909,0.01025,0.53846,0.0138,0.00475,1.83453,3.56605,1.08823,0.000376238,0.000376238,0.000376238
3,21.878,1.76658,2.33877,1.01368,0.01683,0.92308,0.01943,0.00886,1.6595,3.29907,1.14088,0.000568516,0.000568516,0.000568516
4,28.0535,1.94089,1.73755,1.04345,0.01627,1,0.05169,0.02091,1.77824,3.03269,1.10929,0.000756834,0.000756834,0.000756834
5,35.7513,2.07716,1.8175,1.04032,0.87524,0.53979,0.6932,0.34011,1.58935,2.44265,1.04637,0.000941192,0.000941192,0.000941192
6,44.6574,2.04449,1.68508,1.06678,0.51458,0.23077,0.55058,0.24954,1.76613,2.35789,1.19564,0.00112159,0.00112159,0.00112159
7,50.3235,1.95838,1.42064,1.01023,0.51458,0.23077,0.55058,0.24954,1.76613,2.35789,1.19564,0.00129803,0.00129803,0.00129803
8,56.1479,1.93768,1.39053,0.95527,0.52877,0.53846,0.43979,0.19092,1.92523,2.1593,1.30574,0.00147051,0.00147051,0.00147051
9,61.4701,1.9436,1.41709,1.05354,0.69594,0.69231,0.62279,0.25358,1.86169,1.90591,1.19263,0.00163902,0.00163902,0.00163902
10,67.0958,1.89447,1.48243,1.07518,0.69594,0.69231,0.62279,0.25358,1.86169,1.90591,1.19263,0.00180358,0.00180358,0.00180358
11,73.0159,2.06504,1.35414,1.07062,0.89028,0.76923,0.86257,0.407,1.69873,1.31624,1.20002,0.001802,0.001802,0.001802
12,81.394,2.12656,1.20017,1.08314,0.84401,0.83328,0.73931,0.38763,1.43658,1.32428,1.10345,0.0017822,0.0017822,0.0017822
13,89.6369,2.19191,1.23848,1.14999,0.84401,0.83328,0.73931,0.38763,1.43658,1.32428,1.10345,0.0017624,0.0017624,0.0017624
14,96.2439,1.88474,1.2532,1.00383,0.78712,0.69231,0.77873,0.34629,1.79782,1.85961,1.10536,0.0017426,0.0017426,0.0017426
15,105.597,1.98202,1.41375,1.09497,0.80282,0.76923,0.8102,0.28864,1.96553,1.71097,1.14523,0.0017228,0.0017228,0.0017228
16,112.689,1.87969,1.22024,1.03373,0.80282,0.76923,0.8102,0.28864,1.96553,1.71097,1.14523,0.001703,0.001703,0.001703
17,119.215,1.93261,1.22221,0.96487,0.72884,0.76923,0.66777,0.34304,1.59128,1.24231,1.10748,0.0016832,0.0016832,0.0016832
18,125.273,2.00226,1.11856,1.0839,0.72884,0.76923,0.66777,0.34304,1.59128,1.24231,1.10748,0.0016634,0.0016634,0.0016634
19,129.212,1.92905,1.17111,0.98835,0.50875,0.76923,0.54795,0.30616,1.41587,1.1905,1.10508,0.0016436,0.0016436,0.0016436
20,133.177,1.63019,1.02504,0.99542,0.82378,0.72074,0.79465,0.41514,1.64748,1.20908,1.12513,0.0016238,0.0016238,0.0016238
21,136.94,1.76204,1.14786,1.05829,0.82378,0.72074,0.79465,0.41514,1.64748,1.20908,1.12513,0.001604,0.001604,0.001604
22,141.409,1.66036,0.9543,1.02031,0.7292,0.82947,0.83494,0.53112,1.46546,1.02374,1.13025,0.0015842,0.0015842,0.0015842
23,145.443,1.97638,1.14955,1.00599,1,0.81675,0.89092,0.54634,1.45205,1.10865,1.10974,0.0015644,0.0015644,0.0015644
24,149.665,1.78963,1.18186,1.05496,1,0.81675,0.89092,0.54634,1.45205,1.10865,1.10974,0.0015446,0.0015446,0.0015446
25,154.327,1.78774,1.13014,1.08489,0.91953,0.92308,0.91905,0.5253,1.53198,0.9605,1.13935,0.0015248,0.0015248,0.0015248
26,157.825,1.94738,1.10732,1.13765,0.91953,0.92308,0.91905,0.5253,1.53198,0.9605,1.13935,0.001505,0.001505,0.001505
27,160.796,1.58486,0.87961,0.99723,0.87731,0.84615,0.85437,0.50884,1.40517,0.95675,1.11238,0.0014852,0.0014852,0.0014852
28,163.652,1.85763,1.01373,1.0048,0.66078,0.89999,0.7607,0.4989,1.31755,1.09337,1.12883,0.0014654,0.0014654,0.0014654
29,166.663,1.82116,1.05761,1.09401,0.66078,0.89999,0.7607,0.4989,1.31755,1.09337,1.12883,0.0014456,0.0014456,0.0014456
30,171.523,1.58378,0.94998,0.99391,0.7175,0.69231,0.74386,0.36154,1.68798,1.16334,1.17805,0.0014258,0.0014258,0.0014258
31,176.472,1.82721,1.01523,1.01884,0.59432,0.90232,0.79317,0.33993,1.81469,1.13502,1.19554,0.001406,0.001406,0.001406
32,181.117,1.71985,1.03868,0.97418,0.59432,0.90232,0.79317,0.33993,1.81469,1.13502,1.19554,0.0013862,0.0013862,0.0013862
33,185.017,1.72248,0.95132,1.0266,0.80352,0.76923,0.78048,0.31918,1.75594,1.11335,1.21314,0.0013664,0.0013664,0.0013664
34,188.925,1.64882,1.34596,0.95745,0.80352,0.76923,0.78048,0.31918,1.75594,1.11335,1.21314,0.0013466,0.0013466,0.0013466
35,192.501,1.75587,0.92453,0.97304,0.84344,0.92308,0.863,0.39188,1.76115,0.99463,1.21422,0.0013268,0.0013268,0.0013268
36,196.597,1.45651,0.91205,0.97338,0.86909,0.84615,0.88342,0.4811,1.60538,0.96289,1.17674,0.001307,0.001307,0.001307
37,199.793,1.691,0.97993,1.03095,0.86909,0.84615,0.88342,0.4811,1.60538,0.96289,1.17674,0.0012872,0.0012872,0.0012872
38,203.697,1.51991,0.89156,0.99169,0.91939,0.87888,0.90139,0.55219,1.38894,0.95563,1.10912,0.0012674,0.0012674,0.0012674
39,208.35,1.59417,0.99265,0.93309,0.84497,0.92308,0.91292,0.62316,1.29267,0.9154,1.06609,0.0012476,0.0012476,0.0012476
40,213.505,1.50259,0.93383,0.98553,0.84497,0.92308,0.91292,0.62316,1.29267,0.9154,1.06609,0.0012278,0.0012278,0.0012278
41,219.112,1.9319,0.95346,0.96951,0.87754,0.92308,0.91294,0.61058,1.30634,0.89735,1.06631,0.001208,0.001208,0.001208
42,222.302,1.75883,0.94985,0.98355,0.87754,0.92308,0.91294,0.61058,1.30634,0.89735,1.06631,0.0011882,0.0011882,0.0011882
43,225.968,1.4847,0.90498,1.00212,0.97665,0.92308,0.92528,0.58376,1.3627,0.92507,1.08951,0.0011684,0.0011684,0.0011684
44,229.786,1.56206,0.87276,0.96371,1,0.832,0.89103,0.52448,1.5387,0.977,1.1252,0.0011486,0.0011486,0.0011486
45,233.698,1.71854,1.04945,0.96461,1,0.832,0.89103,0.52448,1.5387,0.977,1.1252,0.0011288,0.0011288,0.0011288
46,237.395,1.34934,0.84822,0.92474,1,0.84373,0.91919,0.50456,1.63052,0.9915,1.12966,0.001109,0.001109,0.001109
47,241.893,1.7872,1.00254,1.01829,0.99633,0.84615,0.9192,0.49102,1.57482,0.92685,1.10271,0.0010892,0.0010892,0.0010892
48,245.908,1.6641,0.96831,0.9966,0.99633,0.84615,0.9192,0.49102,1.57482,0.92685,1.10271,0.0010694,0.0010694,0.0010694
49,249.551,1.66765,0.89131,0.98019,0.89939,0.92308,0.9192,0.52494,1.48117,0.88557,1.07727,0.0010496,0.0010496,0.0010496
50,252.966,1.54606,0.93033,1.00545,0.89939,0.92308,0.9192,0.52494,1.48117,0.88557,1.07727,0.0010298,0.0010298,0.0010298
51,258.254,1.50644,0.95025,0.99731,0.93948,0.84615,0.91921,0.51845,1.38896,0.93145,1.05299,0.00101,0.00101,0.00101
52,263.603,1.53242,0.87386,0.93235,1,0.82501,0.90935,0.56609,1.34968,0.88521,1.04784,0.0009902,0.0009902,0.0009902
53,268.897,1.43941,0.85466,0.91707,1,0.82501,0.90935,0.56609,1.34968,0.88521,1.04784,0.0009704,0.0009704,0.0009704
54,272.218,1.73213,0.99459,1.03917,0.97432,0.92308,0.92534,0.53642,1.42158,0.84122,1.06224,0.0009506,0.0009506,0.0009506
55,278.293,1.58103,0.86243,0.96821,0.98849,0.84615,0.9018,0.5646,1.39814,0.8475,1.07985,0.0009308,0.0009308,0.0009308
56,283.583,1.48752,0.81393,0.92884,0.98849,0.84615,0.9018,0.5646,1.39814,0.8475,1.07985,0.000911,0.000911,0.000911
57,288.169,1.49834,0.86965,1.01349,1,0.90673,0.9253,0.55493,1.42467,0.90927,1.09308,0.0008912,0.0008912,0.0008912
58,292.617,1.36635,0.92351,1.01574,1,0.90673,0.9253,0.55493,1.42467,0.90927,1.09308,0.0008714,0.0008714,0.0008714
59,297.43,1.70816,1.1266,0.96805,0.89969,0.92308,0.91914,0.51182,1.61917,0.85268,1.23443,0.0008516,0.0008516,0.0008516
